weightsFirst,valuesSecond
4,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
2,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
33,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
11,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
12,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
76,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
45,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
34,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
22,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
15,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
46,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
76,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
99,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
6,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
23,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
76,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
81,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
17,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56
63,3,1,6,4,2,5,4,1,8,5,3,1,98,4,23,12,54,23,12,11,67,98,56
100,4,44,56,34,34,8,7,65,3,34,43,42,3,6,45,2,33,76,45,21,55,98,56

