numbers
20,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
10,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
23,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
56,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
98,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
8,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
76,45,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
33,54,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
10,12,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
100,143,13,165,34,23,13,11,23,20,98,76,54,34,25,1,21,31,2,4,14,12,54,32,1,2,4,8,6,13,65,45,43,23,23
